Date,Close/Last,Volume,Open,High,Low
11/24/2023,$2.04,14139170,$1.98,$2.12,$1.94
11/22/2023,$1.97,21417350,$2.01,$2.04,$1.93
11/21/2023,$1.97,28412990,$2.09,$2.115,$1.95
11/20/2023,$2.12,50336940,$2.02,$2.19,$1.97
11/17/2023,$2.02,91422240,$2.03,$2.12,$1.95
11/16/2023,$3.13,19969710,$3.25,$3.31,$3.03
11/15/2023,$3.32,20053460,$3.27,$3.54,$3.23
11/14/2023,$3.23,20728660,$2.91,$3.25,$2.905
11/13/2023,$2.75,8751156,$2.69,$2.80,$2.61
11/10/2023,$2.71,12128760,$2.70,$2.73,$2.58
11/09/2023,$2.69,13303270,$2.78,$2.83,$2.63
11/08/2023,$2.74,8693055,$2.85,$2.86,$2.71
11/07/2023,$2.83,7279465,$2.80,$2.86,$2.72
11/06/2023,$2.82,15042790,$3.16,$3.16,$2.78
11/03/2023,$3.08,20710910,$3.03,$3.30,$3.01
11/02/2023,$2.89,18553300,$2.59,$2.90,$2.59
11/01/2023,$2.51,13084820,$2.53,$2.58,$2.44
10/31/2023,$2.54,10334530,$2.47,$2.56,$2.41
10/30/2023,$2.46,10920170,$2.55,$2.57,$2.385
10/27/2023,$2.49,23675460,$2.52,$2.58,$2.395
10/26/2023,$2.49,18272740,$2.57,$2.70,$2.45
10/25/2023,$2.61,14636350,$2.76,$2.76,$2.59
10/24/2023,$2.77,17304100,$2.84,$3.05,$2.76
10/23/2023,$2.80,17970580,$2.92,$2.98,$2.775
10/20/2023,$2.97,18672280,$3.01,$3.17,$2.94
10/19/2023,$3.11,16960670,$3.28,$3.29,$3.08
10/18/2023,$3.24,19892200,$3.56,$3.61,$3.23
10/17/2023,$3.64,18119960,$3.34,$3.65,$3.30
10/16/2023,$3.38,12399730,$3.45,$3.52,$3.36
10/13/2023,$3.44,17443050,$3.59,$3.6298,$3.39
10/12/2023,$3.58,26033500,$3.76,$3.76,$3.50
10/11/2023,$3.78,102265700,$4.58,$4.619,$3.75
10/10/2023,$4.49,11981630,$4.10,$4.51,$4.09
10/09/2023,$4.09,12284670,$4.23,$4.42,$4.05
10/06/2023,$4.31,11602360,$4.08,$4.34,$4.05
10/05/2023,$4.16,11575490,$4.32,$4.35,$4.12
10/04/2023,$4.40,11638390,$4.39,$4.45,$4.20
10/03/2023,$4.38,20849940,$4.69,$4.70,$4.26
10/02/2023,$4.75,10065060,$4.98,$5.00,$4.71
09/29/2023,$4.97,10870560,$5.07,$5.18,$4.88
09/28/2023,$4.98,12078870,$5.05,$5.10,$4.765
09/27/2023,$5.02,15714620,$5.08,$5.23,$4.982
09/26/2023,$4.85,9592092,$4.84,$4.97,$4.7305
09/25/2023,$4.92,17801230,$5.02,$5.195,$4.91
09/22/2023,$5.02,15632090,$5.15,$5.24,$4.92
09/21/2023,$5.09,17519780,$5.02,$5.16,$4.94
